record_id,set_id,name,year,theme,subtheme,themeGroup,category,pieces,minifigs,agerange_min,US_retailPrice,bricksetURL,thumbnailURL,imageURL
196,292-1,Kitchen Sink and Cupboards,1973,Homemaker,,Vintage,Normal,59.0,,,,https://brickset.com/sets/292-1,https://images.brickset.com/sets/small/292-1.jpg,https://images.brickset.com/sets/images/292-1.jpg
197,293-1,Piano,1973,Homemaker,,Vintage,Normal,131.0,,,,https://brickset.com/sets/293-1,https://images.brickset.com/sets/small/293-1.jpg,https://images.brickset.com/sets/images/293-1.jpg
198,310-3,Tugboat,1973,LEGOLAND,Boats,Vintage,Normal,183.0,,,,https://brickset.com/sets/310-3,https://images.brickset.com/sets/small/310-3.jpg,https://images.brickset.com/sets/images/310-3.jpg
199,311-1,Ferry,1973,LEGOLAND,Boats,Vintage,Normal,83.0,,,,https://brickset.com/sets/311-1,https://images.brickset.com/sets/small/311-1.jpg,https://images.brickset.com/sets/images/311-1.jpg
200,312-3,Cargo Ship,1973,LEGOLAND,Boats,Vintage,Normal,59.0,,,,https://brickset.com/sets/312-3,https://images.brickset.com/sets/small/312-3.jpg,https://images.brickset.com/sets/images/312-3.jpg
201,356-1,Italian Villa,1973,LEGOLAND,,Vintage,Normal,150.0,,,,https://brickset.com/sets/356-1,https://images.brickset.com/sets/small/356-1.jpg,https://images.brickset.com/sets/images/356-1.jpg
202,357-1,Legoland Fire House,1973,LEGOLAND,,Vintage,Normal,239.0,,,,https://brickset.com/sets/357-1,https://images.brickset.com/sets/small/357-1.jpg,https://images.brickset.com/sets/images/357-1.jpg
203,358-1,Rocket Base,1973,LEGOLAND,,Vintage,Normal,276.0,,,,https://brickset.com/sets/358-1,https://images.brickset.com/sets/small/358-1.jpg,https://images.brickset.com/sets/images/358-1.jpg
204,381-1,Lorry and Fork Lift Truck,1973,LEGOLAND,Vehicle,Vintage,Normal,86.0,,,,https://brickset.com/sets/381-1,https://images.brickset.com/sets/small/381-1.jpg,https://images.brickset.com/sets/images/381-1.jpg
205,382-1,Breakdown Truck and Car,1973,LEGOLAND,,Vintage,Normal,91.0,,,,https://brickset.com/sets/382-1,https://images.brickset.com/sets/small/382-1.jpg,https://images.brickset.com/sets/images/382-1.jpg
206,383-1,Truck with Excavator,1973,LEGOLAND,,Vintage,Normal,112.0,,,,https://brickset.com/sets/383-1,https://images.brickset.com/sets/small/383-1.jpg,https://images.brickset.com/sets/images/383-1.jpg
207,384-1,London Bus,1973,LEGOLAND,Town,Vintage,Normal,110.0,,,,https://brickset.com/sets/384-1,https://images.brickset.com/sets/small/384-1.jpg,https://images.brickset.com/sets/images/384-1.jpg
208,410-1,Payloader,1973,LEGOLAND,,Vintage,Normal,26.0,,,,https://brickset.com/sets/410-1,https://images.brickset.com/sets/small/410-1.jpg,https://images.brickset.com/sets/images/410-1.jpg
209,420-1,Police Car,1973,LEGOLAND,Vehicle,Vintage,Normal,19.0,,,,https://brickset.com/sets/420-1,https://images.brickset.com/sets/small/420-1.jpg,https://images.brickset.com/sets/images/420-1.jpg
210,450-1,Fork lift,1973,LEGOLAND,,Vintage,Normal,46.0,,,,https://brickset.com/sets/450-1,https://images.brickset.com/sets/small/450-1.jpg,https://images.brickset.com/sets/images/450-1.jpg
211,460-1,Rescue Units,1973,LEGOLAND,,Vintage,Normal,42.0,,,,https://brickset.com/sets/460-1,https://images.brickset.com/sets/small/460-1.jpg,https://images.brickset.com/sets/images/460-1.jpg
212,508-2,Kindergarten Set,1973,Duplo,,Pre-school,Normal,,,,,https://brickset.com/sets/508-2,,
213,515-2,Building set,1973,Duplo,,Pre-school,Normal,31.0,,,,https://brickset.com/sets/515-2,https://images.brickset.com/sets/small/515-2.jpg,https://images.brickset.com/sets/images/515-2.jpg
214,540-3,Swiss villa,1973,LEGOLAND,,Vintage,Normal,155.0,,,,https://brickset.com/sets/540-3,https://images.brickset.com/sets/small/540-3.jpg,https://images.brickset.com/sets/images/540-3.jpg
215,545-2,Conveyor Station,1973,LEGOLAND,,Vintage,Normal,173.0,,,,https://brickset.com/sets/545-2,https://images.brickset.com/sets/small/545-2.jpg,https://images.brickset.com/sets/images/545-2.jpg
216,560-2,Police Heliport,1973,LEGOLAND,Building,Vintage,Normal,166.0,,,,https://brickset.com/sets/560-2,https://images.brickset.com/sets/small/560-2.jpg,https://images.brickset.com/sets/images/560-2.jpg
217,570-1,Fire House,1973,LEGOLAND,,Vintage,Normal,239.0,,,,https://brickset.com/sets/570-1,https://images.brickset.com/sets/small/570-1.jpg,https://images.brickset.com/sets/images/570-1.jpg
218,610-1,Vintage car,1973,LEGOLAND,,Vintage,Normal,41.0,,,,https://brickset.com/sets/610-1,https://images.brickset.com/sets/small/610-1.jpg,https://images.brickset.com/sets/images/610-1.jpg
219,611-1,Police Car,1973,LEGOLAND,Vehicle,Vintage,Normal,19.0,,,,https://brickset.com/sets/611-1,https://images.brickset.com/sets/small/611-1.jpg,https://images.brickset.com/sets/images/611-1.jpg
220,653-1,Ambulance and Helicopter,1973,LEGOLAND,Vehicle,Vintage,Normal,37.0,,,,https://brickset.com/sets/653-1,https://images.brickset.com/sets/small/653-1.jpg,https://images.brickset.com/sets/images/653-1.jpg
221,654-1,Crane Truck,1973,LEGOLAND,,Vintage,Normal,36.0,,,,https://brickset.com/sets/654-1,https://images.brickset.com/sets/small/654-1.jpg,https://images.brickset.com/sets/images/654-1.jpg
222,655-1,Mobile Hydraulic Hoist,1973,LEGOLAND,,Vintage,Normal,36.0,,,,https://brickset.com/sets/655-1,https://images.brickset.com/sets/small/655-1.jpg,https://images.brickset.com/sets/images/655-1.jpg
223,686-1,Digger and Tippers,1973,LEGOLAND,,Vintage,Normal,70.0,,,,https://brickset.com/sets/686-1,https://images.brickset.com/sets/small/686-1.jpg,https://images.brickset.com/sets/images/686-1.jpg
224,687-1,Caravelle Aeroplane,1973,LEGOLAND,,Vintage,Normal,49.0,,,,https://brickset.com/sets/687-1,https://images.brickset.com/sets/small/687-1.jpg,https://images.brickset.com/sets/images/687-1.jpg
225,688-1,Shell Tanker,1973,LEGOLAND,,Vintage,Normal,63.0,,,,https://brickset.com/sets/688-1,https://images.brickset.com/sets/small/688-1.jpg,https://images.brickset.com/sets/images/688-1.jpg
